Date,Open,High,Low,Close,Volume,KDJ ,W%R ,RSI,label
2012/2/13,71.361427,71.975716,71.012856,71.800003,129304000,-0.199475432,-0.212853,16.73925651,1.224281
2012/2/14,72.094284,72.794289,71.714287,72.779999,115099600,0.080548356,0.065712,-1.465605227,0.732857
2012/2/15,73.465714,75.184288,70.984283,71.095711,376530000,-0.832709198,-0.888572,115.9911357,1.37143
2012/2/16,70.214287,72.127144,69.51857,71.744286,236138000,1.261882329,1.225716,-38.52262304,-3.251427
2012/2/17,71.872856,72.538574,71.471428,71.73143,133951300,-0.725286572,-0.739998,5652.351473,1.658569
2012/2/21,72.41143,73.550003,72.017143,73.550003,151398800,0.55370106,0.53286,32.28762983,0.538574
2012/2/22,73.297142,73.641426,72.724289,73.291428,120825600,-0.420406909,-0.432861,357.9935996,0.885712
2012/2/23,73.582855,73.975716,72.785713,73.769997,142006900,0.000370401,-0.015716,-79.85561663,0.285713
2012/2/24,74.238571,74.699997,74.091431,74.629997,103768000,-0.453287199,-0.461434,-12.00906928,0.655716
2012/2/27,74.472855,75.5,73.754288,75.108574,136895500,0.377408013,0.354286,-81.31146488,0.234284
2012/2/28,75.422859,76.487144,75.121429,76.487144,150096800,0.383570484,0.365715,20.62561412,0.950004
2012/2/29,77.365715,78.230003,76.528572,77.491432,238002800,-0.015390915,-0.03714,0.326576513,1.942856
2012/3/1,78.309998,78.315712,76.96714,77.781425,170817500,-0.168495314,-0.185715,-189.7268526,0.944283
2012/3/2,77.748573,78.114288,77.502853,77.882858,107928100,-0.612167559,-0.619995,-689.0442136,-0.561425
2012/3/5,77.917145,78.211426,75.14286,76.165718,202281100,0.062092242,0.022858,123.2390072,0.168572
2012/3/6,74.808571,76.241432,73.745712,75.751427,202559700,1.038449432,1.005715,260.0116572,-3.108574
2012/3/7,76.685715,76.825714,74.757141,75.812859,199630200,0.082643529,0.055718,-1157.342514,1.877144
2012/3/8,76.384285,77.57,76.017143,77.427139,129114300,0.430014783,0.409996,28.84897479,-0.30143
2012/3/9,77.744286,78.248573,77.587143,77.881432,104729800,-0.697258066,-0.705711,-93.00722605,1.360001
2012/3/12,78.425713,78.85714,78.14286,78.85714,101820600,-0.276662101,-0.28572,-1.938997883,0.681427
2012/3/13,79.648575,81.168571,79.39286,81.157143,172713800,0.78615983,0.764283,44.57147168,1.222862
2012/3/14,82.578575,84.959999,82.199997,84.225716,354711000,1.0582049,1.025719,54.70929802,2.93
2012/3/15,85.658569,85.715714,82.650002,83.651428,289929500,0.037192044,0.001426,230.8868268,3.079994
2012/3/16,83.531425,84.171425,82.571426,83.652855,206371900,0.100437814,0.081429,-58536.8307,-2.127144
2012/3/19,85.48143,85.96714,84.150002,85.871429,225309000,0.742564588,0.721427,45.94716883,1.950005
2012/3/20,85.644287,86.699997,84.497147,86.565712,204165500,1.093972729,1.068565,-37.81218273,0.162857
2012/3/21,86.105713,87.092857,85.915718,86.071426,161010500,-0.830776092,-0.844292,261.6985541,0.461426
2012/3/22,85.397141,86.35714,85.075714,85.620003,155967700,-0.44087232,-0.455711,276.7383304,-0.708572
2012/3/23,85.784286,85.971428,84.914284,85.150002,107622200,-0.751985543,-0.764282,267.7898346,0.387145
2012/3/26,85.684288,86.735718,85.03714,86.711426,148935500,0.693869374,0.674286,30.61644673,-0.099998
2012/3/27,86.597145,88.040001,86.580002,87.78286,151782400,0.21944136,0.202858,5.78117178,0.912857
2012/3/28,88.339996,88.778572,87.187141,88.23143,163865100,0.062214846,0.044289,-107.9120371,1.742851
2012/3/29,87.540001,88.080002,86.747147,87.122856,152059600,-0.609158677,-0.624291,167.8214529,-0.799995
2012/3/30,86.96714,87.222855,85.419998,85.650002,182759500,-0.749326452,-0.769996,146.2752608,-0.572861
2012/4/2,85.975716,88.395714,85.76857,88.375717,149587900,1.636867264,1.607147,54.22705353,-0.991424
2012/4/3,89.614288,90.315712,88.93,89.902855,208639900,-0.011802022,-0.027145,30.50555923,3.638572
2012/4/4,89.192856,89.408569,88.14286,89.187141,143245200,0.058437462,0.044281,215.5156766,-0.421432
2012/4/5,89.568573,90.665718,89.057144,90.525711,160324500,0.486308811,0.468567,22.55846936,0.375717
2012/4/9,89.447144,91.405716,89.328575,90.889999,149384200,0.58414841,0.561424,-157.9746815,-0.121429
2012/4/10,91.418571,92,89.428574,89.777145,222431300,-0.623478717,-0.651429,172.562886,1.971427
2012/4/11,90.885712,90.98143,89.048569,89.457146,174153700,-0.570178434,-0.591423,370.3315999,-0.532859
2012/4/12,89.285713,90.190002,88.64286,88.96714,153584200,-0.658565748,-0.67572,272.0205146,-1.599999
2012/4/13,89.158569,89.242859,86.215714,86.461426,214911200,-0.720367695,-0.754288,124.4728442,-0.127144
2012/4/16,87.151428,87.182854,82.60714,82.875717,262696700,-0.678938896,-0.731423,110.5742098,-2.007141
2012/4/17,82.705711,87.14286,81.701431,87.099998,256382000,4.461009626,4.398567,63.25682399,-4.445717
2012/4/18,87.674286,88.60714,86.101425,86.905716,238632800,-0.167430071,-0.195709,535.417382,4.968575
2012/4/19,85.745712,86.389999,83.502853,83.919998,208679800,-0.54943509,-0.582855,116.0128574,-1.928574
2012/4/20,84.482857,84.945717,81.488571,81.854286,257746300,-0.593586703,-0.634285,124.5452149,-1.262855
2012/4/23,81.515717,82.381432,79.517143,81.671425,241632300,1.189050624,1.154282,529.4854703,-2.96714
2012/4/24,80.372856,81.098572,79.285713,80.040001,269037300,-0.223358228,-0.245712,131.7328591,-1.142861
2012/4/25,87.94857,88.285713,86.571426,87.14286,226444400,-0.409148509,-0.428566,68.77129906,7.575714
2012/4/26,87.752853,87.812859,86.01857,86.814285,134017100,-0.183851899,-0.204285,352.3573772,-0.195717
2012/4/27,86.438568,86.597145,85.785713,86.14286,101680600,-0.633482807,-0.642853,216.112844,-1.314285
2012/4/30,85.400002,85.485718,83.285713,83.425713,126536200,-0.834264649,-0.86,117.8462827,-1.038566
