Date,Open,High,Low,Close,Volume,KDJ,W%R,RSI
2013/8/29,1317000,1348000,1314000,1344000,326300,0.882352941,-0.117647059,-34999
2013/8/30,1360000,1368000,1351000,1368000,342716,1,0,-23999
2013/9/2,1368000,1371000,1350000,1351000,201632,0.047619048,-0.952380952,17001
2013/9/3,1364000,1364000,1326000,1337000,235970,0.289473684,-0.710526316,14001
2013/9/4,1330000,1354000,1321000,1340000,218401,0.575757576,-0.424242424,-2999
2013/9/5,1370000,1371000,1358000,1365000,302002,0.538461538,-0.461538462,-24999
2013/9/6,1370000,1375000,1358000,1369000,238759,0.647058824,-0.352941176,-3999
2013/9/9,1371000,1375000,1363000,1373000,185831,0.833333333,-0.166666667,-3999
2013/9/10,1369000,1396000,1368000,1396000,294353,1,0,-22999
2013/9/11,1398000,1402000,1385000,1402000,267060,1,0,-5999
2013/9/12,1405000,1424000,1395000,1410000,436108,0.517241379,-0.482758621,-7999
2013/9/13,1409000,1410000,1396000,1406000,245630,0.714285714,-0.285714286,4001
2013/9/16,1423000,1425000,1411000,1425000,234214,1,0,-18999
2013/9/17,1420000,1420000,1381000,1386000,343627,0.128205128,-0.871794872,39001
2013/9/23,1386000,1386000,1353000,1360000,487258,0.212121212,-0.787878788,26001
2013/9/24,1342000,1379000,1338000,1373000,302778,0.853658537,-0.146341463,-12999
2013/9/25,1367000,1374000,1351000,1364000,223529,0.565217391,-0.434782609,9001
2013/9/26,1364000,1372000,1356000,1372000,207494,1,0,-7999
2013/9/27,1375000,1377000,1363000,1366000,232265,0.214285714,-0.785714286,6001
2013/9/30,1366000,1382000,1360000,1367000,233018,0.318181818,-0.681818182,-999
2013/10/1,1380000,1383000,1360000,1382000,195463,0.956521739,-0.043478261,-14999
2013/10/2,1398000,1425000,1390000,1418000,351727,0.8,-0.2,-35999
2013/10/4,1418000,1442000,1414000,1418000,315074,0.142857143,-0.857142857,0
2013/10/7,1437000,1437000,1425000,1436000,204565,0.916666667,-0.083333333,-17999
2013/10/8,1417000,1433000,1417000,1430000,210920,0.8125,-0.1875,6001
2013/10/10,1430000,1432000,1421000,1430000,276380,0.818181818,-0.181818182,0
2013/10/11,1440000,1447000,1436000,1443000,225083,0.636363636,-0.363636364,-12999
2013/10/14,1448000,1449000,1438000,1438000,147474,0,-1,5001
2013/10/15,1450000,1457000,1445000,1457000,200473,1,0,-18999
2013/10/16,1469000,1469000,1445000,1450000,160212,0.208333333,-0.791666667,7001
2013/10/17,1460000,1468000,1454000,1463000,181987,0.642857143,-0.357142857,-12999
2013/10/18,1472000,1475000,1463000,1472000,157043,0.75,-0.25,-8999
2013/10/21,1475000,1489000,1454000,1464000,142521,0.285714286,-0.714285714,8001
2013/10/22,1460000,1460000,1434000,1455000,247065,0.807692308,-0.192307692,9001
2013/10/23,1464000,1464000,1436000,1442000,171969,0.214285714,-0.785714286,13001
2013/10/24,1431000,1449000,1429000,1449000,178313,1,0,-6999
2013/10/25,1450000,1452000,1433000,1449000,134706,0.842105263,-0.157894737,0
2013/10/28,1465000,1485000,1458000,1482000,226154,0.888888889,-0.111111111,-32999
2013/10/29,1490000,1490000,1478000,1490000,206698,1,0,-7999
2013/10/30,1485000,1500000,1484000,1500000,211768,1,0,-9999
2013/10/31,1498000,1502000,1465000,1465000,252941,0,-1,35001
2013/11/1,1490000,1500000,1468000,1500000,227154,1,0,-34999
2013/11/4,1492000,1502000,1489000,1499000,217756,0.769230769,-0.230769231,1001
2013/11/5,1502000,1502000,1472000,1485000,160186,0.433333333,-0.566666667,14001
2013/11/6,1498000,1498000,1449000,1451000,244368,0.040816327,-0.959183673,34001
2013/11/7,1451000,1454000,1425000,1437000,260136,0.413793103,-0.586206897,14001
2013/11/8,1411000,1428000,1407000,1410000,273627,0.142857143,-0.857142857,27001
2013/11/11,1425000,1434000,1409000,1428000,171277,0.76,-0.24,-17999
2013/11/12,1440000,1466000,1436000,1456000,195698,0.666666667,-0.333333333,-27999
2013/11/13,1445000,1449000,1419000,1419000,199904,0,-1,37001
2013/11/14,1455000,1455000,1424000,1424000,202643,0,-1,-4999
2013/11/15,1434000,1462000,1432000,1462000,166785,1,0,-37999
2013/11/18,1470000,1476000,1465000,1474000,127736,0.818181818,-0.181818182,-11999
2013/11/19,1483000,1489000,1477000,1489000,163671,1,0,-14999
2013/11/20,1473000,1487000,1464000,1470000,163563,0.260869565,-0.739130435,19001
2013/11/21,1472000,1472000,1432000,1440000,180396,0.2,-0.8,30001
2013/11/22,1441000,1456000,1431000,1450000,171492,0.76,-0.24,-9999
2013/11/25,1451000,1472000,1451000,1465000,132306,0.666666667,-0.333333333,-14999
2013/11/26,1458000,1479000,1455000,1479000,171725,1,0,-13999
2013/11/27,1467000,1476000,1460000,1470000,187034,0.625,-0.375,9001
2013/11/28,1480000,1494000,1479000,1494000,212898,1,0,-23999
2013/11/29,1499000,1499000,1485000,1494000,135044,0.642857143,-0.357142857,0
2013/12/2,1500000,1503000,1467000,1467000,149756,0,-1,27001
2013/12/3,1464000,1478000,1457000,1461000,155972,0.19047619,-0.80952381,6001
2013/12/4,1450000,1453000,1431000,1432000,216880,0.045454545,-0.954545455,29001
2013/12/5,1433000,1446000,1422000,1440000,209593,0.75,-0.25,-7999
2013/12/6,1454000,1454000,1428000,1428000,182949,0,-1,12001
2013/12/9,1440000,1454000,1440000,1454000,139938,1,0,-25999
2013/12/10,1441000,1451000,1431000,1440000,155112,0.45,-0.55,14001
2013/12/11,1426000,1444000,1416000,1420000,212583,0.142857143,-0.857142857,20001
2013/12/12,1396000,1410000,1396000,1410000,299241,1,0,10001
2013/12/13,1410000,1411000,1390000,1390000,201065,0,-1,20001
